,User-ID,ISBN,Book-Rating
133,276822,0060096195,10
137,276822,0375821813,9
141,276822,0552546933,9
145,276822,0786817070,10
174,276847,3257200552,5
177,276847,3404148576,8
179,276847,3423071516,10
182,276847,3426029553,8
189,276847,3442437717,7
193,276847,3442446414,10
210,276847,3551551677,10
211,276847,3551551685,10
212,276847,3551551693,10
213,276847,3551551936,10
216,276847,360893541X,10
280,276859,0836218833,10
281,276859,0836220889,10
282,276859,088365721X,9
287,276861,0141011904,9
289,276861,3423201509,10
295,276861,360893541X,9
307,276866,3404139178,9
328,276872,042518109X,8
356,276875,8817106100,6
413,276925,002542730X,10
418,276925,0140154078,6
429,276925,0385504209,8
517,276925,950491036X,10
586,276929,2266102621,10
587,276929,2266104535,2
628,276939,2070419657,7
629,276939,2253063339,9
630,276939,2253137243,9
631,276939,2253144452,9
634,276939,226612269X,9
640,276939,8423310353,8
684,276964,0345354621,10
688,276964,0425104273,9
691,276964,0440220602,9
698,276964,0684867621,8
701,276964,0812550307,10
703,276964,0886773741,7
704,276964,0886774802,8
705,276964,0886774829,8
706,276964,0886775426,9
707,276964,0886775957,10
755,276994,3423202327,6
761,276994,3492045170,7
765,276994,3548359698,6
768,276994,3596214629,8
818,277051,0099845008,5
819,277051,0330262130,10
820,277051,0385720920,10
822,277051,0553262505,7
860,277087,8472230082,5
911,277157,0312979517,5
913,277157,0316154059,5
916,277157,0345450175,6
917,277157,0345452550,7
928,277157,0399146504,7
929,277157,0399146687,7
930,277157,0399147101,7
936,277157,0399148639,6
937,277157,0399148728,8
941,277157,0399151451,7
945,277157,0425183181,5
954,277157,0671024094,7
955,277157,0679450408,6
960,277157,074320607X,7
962,277157,0743486226,7
1010,277171,0449213730,8
1012,277171,0451173139,7
1013,277171,0486282406,10
1016,277171,0553580930,9
1019,277171,080410946X,8
1083,277195,0060391626,10
1100,277195,0330332775,10
1131,277195,055326611X,10
1134,277195,0553347756,10
1135,277195,0553379615,10
1138,277195,0670869902,10
1140,277195,0671021001,10
1143,277195,0671647458,10
1173,277195,1573221856,10
1202,277203,030700645X,8
1205,277203,0307302636,8
1211,277203,039480001X,9
1212,277203,0394800028,9
1213,277203,0394800184,9
1214,277203,039480029X,8
1215,277203,039480967X,8
1237,277203,0717283194,8
1238,277203,0717283208,8
1322,277272,9726106141,5
1388,277378,0312195516,7
1396,277378,0446608955,4
1403,277378,0670892963,7
1406,277378,0671646575,6
1422,277378,0804114986,5
1423,277378,0812507452,4
1424,277378,0812515560,5
1425,277378,0812515595,4
1456,277427,002542730X,10
1465,277427,0060542128,7
1474,277427,0061009059,9
1497,277427,0152050167,10
1522,277427,0316776963,8
1525,277427,033031582,8
1543,277427,0345413903,10
1560,277427,0375751513,9
1564,277427,0380702843,8
1570,277427,0380791978,9
1578,277427,0385424736,9
1581,277427,0385486804,9
1583,277427,0385503857,9
1584,277427,0385504209,8
1586,277427,039304016X,8
1599,277427,0399149562,7
1601,277427,0399501487,9
1607,277427,0425104338,9
1611,277427,0425116840,8
1615,277427,0425133516,9
1628,277427,0425190749,7
1637,277427,0440185327,5
1647,277427,0440224764,7
1650,277427,0440236061,8
1652,277427,0440236738,9
1655,277427,0440428130,8
1659,277427,0441627404,10
1662,277427,0446350982,9
1664,277427,0446600415,10
1670,277427,0446608890,10
1688,277427,0451191153,8
1690,277427,0451203593,10
1694,277427,0452284449,6
1708,277427,0552137030,8
1718,277427,0553280368,9
1724,277427,0553571656,10
1728,277427,0553573926,10
1729,277427,0553574566,9
1736,277427,0553581929,9
1750,277427,0671014420,5
1755,277427,0671528904,8
1768,277427,0671876821,8
1772,277427,0679417648,10
1776,277427,0679731148,9
1778,277427,0679736042,5
1796,277427,0736903054,8
1797,277427,0740723367,9
1798,277427,0743406176,8
1799,277427,0743412028,9
1800,277427,0743422082,9
1802,277427,0743444477,9
1803,277427,0743457943,8
1807,277427,0767903382,10
1810,277427,0786866845,10
1828,277427,0811802981,10
1829,277427,0811811409,10
1838,277427,0836210263,10
1842,277427,0836217691,10
1844,277427,0836218515,10
1847,277427,0836218817,10
1849,277427,0836221192,10
1850,277427,0836221311,8
