A;ITEM;RATING
0;002411510X;9
0;0061013412;6
0;0064400085;1
0;0064407683;7
0;0064472272;4
0;0064472795;8
0;0140042407;7
0;0140067477;3
0;0142001619;7
0;0316788228;3
0;0345313097;6
0;0345377591;2
0;0345409671;3
0;0345422392;9
0;0345434803;4
0;0373790473;8
0;0380709546;3
0;038529929X;2
0;038548951X;4
0;0394800184;2
0;0399501487;9
0;0425107469;9
0;0425147363;2
0;0440111323;7
0;0440183057;4
0;0440208149;1
0;0441005489;2
0;0441294677;5
0;0446605239;8
0;0449003795;9
0;0449227812;9
0;0451137965;5
0;0451141083;5
0;0451161343;2
0;0451162072;9
0;0451166582;2
0;0451167716;5
0;0515090395;5
0;051511779X;1
0;0515120871;8
0;0515121495;8
0;0515131091;8
0;0553212451;1
0;0553280511;4
0;055328942X;4
0;055329170X;7
0;0553348981;5
0;0553582127;9
0;0590353403;1
0;0670031909;1
0;0670805149;1
0;0671741187;9
0;0671759361;4
0;0679723161;9
0;0679777547;2
0;0684835959;4
0;0684852225;4
0;0684867621;3
0;0688162827;4
0;0743206029;1
0;0743418190;4
0;0743456173;2
0;0765340747;9
0;080410753X;7
0;0821773682;1
0;0836218051;3
0;0842332294;6
0;084395048X;2
0;0874776945;6
0;0880389206;3
0;0886773520;1
0;0930289595;2
0;1551665301;2
0;1551666189;1
0;155166951X;3
0;1563890895;7
0;1563891050;7
0;1888054557;6
